date,period,year,quarter,area,value
2011-04-01,2011-Q%q,2011,2011Q2,Wicklow County Council,37.0
2011-04-01,2011-Q%q,2011,2011Q2,Wexford County Council,77.0
2011-07-01,2011-Q%q,2011,2011Q3,Ireland,1687.0
2011-07-01,2011-Q%q,2011,2011Q3,Cork City Council,51.0
2011-07-01,2011-Q%q,2011,2011Q3,Clare County Council,47.0
2011-07-01,2011-Q%q,2011,2011Q3,Cavan County Council,45.0
2011-07-01,2011-Q%q,2011,2011Q3,Cork County Council,164.0
2011-07-01,2011-Q%q,2011,2011Q3,Carlow County Council,24.0
2011-07-01,2011-Q%q,2011,2011Q3,Dublin City Council,41.0
2011-07-01,2011-Q%q,2011,2011Q3,Dún Laoghaire Rathdown County Council,15.0
2011-07-01,2011-Q%q,2011,2011Q3,Donegal County Council,115.0
2011-07-01,2011-Q%q,2011,2011Q3,Fingal County Council,96.0
2011-07-01,2011-Q%q,2011,2011Q3,Galway County Council,105.0
2011-07-01,2011-Q%q,2011,2011Q3,Galway City Council,9.0
2011-07-01,2011-Q%q,2011,2011Q3,Kildare County Council,42.0
2011-07-01,2011-Q%q,2011,2011Q3,Kilkenny County Council,84.0
2011-07-01,2011-Q%q,2011,2011Q3,Kerry County Council,77.0
2011-07-01,2011-Q%q,2011,2011Q3,Longford County Council,12.0
2011-07-01,2011-Q%q,2011,2011Q3,Louth County Council,31.0
2011-07-01,2011-Q%q,2011,2011Q3,Limerick City & County Council,55.0
2011-07-01,2011-Q%q,2011,2011Q3,Leitrim County Council,14.0
2011-07-01,2011-Q%q,2011,2011Q3,Laois County Council,25.0
2011-07-01,2011-Q%q,2011,2011Q3,Meath County Council,76.0
2011-07-01,2011-Q%q,2011,2011Q3,Monaghan County Council,33.0
2011-07-01,2011-Q%q,2011,2011Q3,Mayo County Council,124.0
2011-07-01,2011-Q%q,2011,2011Q3,Offaly County Council,24.0
2011-07-01,2011-Q%q,2011,2011Q3,Roscommon County Council,38.0
2011-07-01,2011-Q%q,2011,2011Q3,South Dublin County Council,29.0
2011-07-01,2011-Q%q,2011,2011Q3,Sligo County Council,35.0
2011-07-01,2011-Q%q,2011,2011Q3,Tipperary County Council,73.0
2011-07-01,2011-Q%q,2011,2011Q3,Waterford City & County Council,30.0
2011-07-01,2011-Q%q,2011,2011Q3,Westmeath County Council,24.0
2011-07-01,2011-Q%q,2011,2011Q3,Wicklow County Council,60.0
2011-07-01,2011-Q%q,2011,2011Q3,Wexford County Council,89.0
2011-10-01,2011-Q%q,2011,2011Q4,Ireland,1641.0
2011-10-01,2011-Q%q,2011,2011Q4,Cork City Council,25.0
2011-10-01,2011-Q%q,2011,2011Q4,Clare County Council,57.0
2011-10-01,2011-Q%q,2011,2011Q4,Cavan County Council,37.0
2011-10-01,2011-Q%q,2011,2011Q4,Cork County Council,194.0
2011-10-01,2011-Q%q,2011,2011Q4,Carlow County Council,38.0
2011-10-01,2011-Q%q,2011,2011Q4,Dublin City Council,83.0
2011-10-01,2011-Q%q,2011,2011Q4,Dún Laoghaire Rathdown County Council,17.0
2011-10-01,2011-Q%q,2011,2011Q4,Donegal County Council,88.0
2011-10-01,2011-Q%q,2011,2011Q4,Fingal County Council,33.0
2011-10-01,2011-Q%q,2011,2011Q4,Galway County Council,114.0
2011-10-01,2011-Q%q,2011,2011Q4,Galway City Council,11.0
2011-10-01,2011-Q%q,2011,2011Q4,Kildare County Council,76.0
2011-10-01,2011-Q%q,2011,2011Q4,Kilkenny County Council,54.0
2011-10-01,2011-Q%q,2011,2011Q4,Kerry County Council,79.0
2011-10-01,2011-Q%q,2011,2011Q4,Longford County Council,13.0
2011-10-01,2011-Q%q,2011,2011Q4,Louth County Council,37.0
2011-10-01,2011-Q%q,2011,2011Q4,Limerick City & County Council,95.0
2011-10-01,2011-Q%q,2011,2011Q4,Leitrim County Council,16.0
2011-10-01,2011-Q%q,2011,2011Q4,Laois County Council,33.0
2011-10-01,2011-Q%q,2011,2011Q4,Meath County Council,68.0
2011-10-01,2011-Q%q,2011,2011Q4,Monaghan County Council,32.0
2011-10-01,2011-Q%q,2011,2011Q4,Mayo County Council,88.0
2011-10-01,2011-Q%q,2011,2011Q4,Offaly County Council,29.0
2011-10-01,2011-Q%q,2011,2011Q4,Roscommon County Council,31.0
2011-10-01,2011-Q%q,2011,2011Q4,South Dublin County Council,36.0
2011-10-01,2011-Q%q,2011,2011Q4,Sligo County Council,24.0
2011-10-01,2011-Q%q,2011,2011Q4,Tipperary County Council,68.0
2011-10-01,2011-Q%q,2011,2011Q4,Waterford City & County Council,35.0
2011-10-01,2011-Q%q,2011,2011Q4,Westmeath County Council,28.0
2011-10-01,2011-Q%q,2011,2011Q4,Wicklow County Council,47.0
2011-10-01,2011-Q%q,2011,2011Q4,Wexford County Council,55.0
2012-01-01,2012-Q%q,2012,2012Q1,Ireland,1131.0
2012-01-01,2012-Q%q,2012,2012Q1,Cork City Council,20.0
2012-01-01,2012-Q%q,2012,2012Q1,Clare County Council,44.0
2012-01-01,2012-Q%q,2012,2012Q1,Cavan County Council,20.0
2012-01-01,2012-Q%q,2012,2012Q1,Cork County Council,122.0
2012-01-01,2012-Q%q,2012,2012Q1,Carlow County Council,17.0
2012-01-01,2012-Q%q,2012,2012Q1,Dublin City Council,57.0
2012-01-01,2012-Q%q,2012,2012Q1,Dún Laoghaire Rathdown County Council,13.0
2012-01-01,2012-Q%q,2012,2012Q1,Donegal County Council,114.0
2012-01-01,2012-Q%q,2012,2012Q1,Fingal County Council,29.0
2012-01-01,2012-Q%q,2012,2012Q1,Galway County Council,77.0
2012-01-01,2012-Q%q,2012,2012Q1,Galway City Council,6.0
2012-01-01,2012-Q%q,2012,2012Q1,Kildare County Council,51.0
2012-01-01,2012-Q%q,2012,2012Q1,Kilkenny County Council,26.0
2012-01-01,2012-Q%q,2012,2012Q1,Kerry County Council,46.0
2012-01-01,2012-Q%q,2012,2012Q1,Longford County Council,17.0
2012-01-01,2012-Q%q,2012,2012Q1,Louth County Council,23.0
2012-01-01,2012-Q%q,2012,2012Q1,Limerick City & County Council,27.0
2012-01-01,2012-Q%q,2012,2012Q1,Leitrim County Council,15.0
2012-01-01,2012-Q%q,2012,2012Q1,Laois County Council,24.0
2012-01-01,2012-Q%q,2012,2012Q1,Meath County Council,41.0
2012-01-01,2012-Q%q,2012,2012Q1,Monaghan County Council,42.0
2012-01-01,2012-Q%q,2012,2012Q1,Mayo County Council,41.0
2012-01-01,2012-Q%q,2012,2012Q1,Offaly County Council,15.0
2012-01-01,2012-Q%q,2012,2012Q1,Roscommon County Council,19.0
2012-01-01,2012-Q%q,2012,2012Q1,South Dublin County Council,11.0
2012-01-01,2012-Q%q,2012,2012Q1,Sligo County Council,62.0
2012-01-01,2012-Q%q,2012,2012Q1,Tipperary County Council,40.0
2012-01-01,2012-Q%q,2012,2012Q1,Waterford City & County Council,18.0
2012-01-01,2012-Q%q,2012,2012Q1,Westmeath County Council,24.0
2012-01-01,2012-Q%q,2012,2012Q1,Wicklow County Council,23.0
2012-01-01,2012-Q%q,2012,2012Q1,Wexford County Council,47.0
2012-04-01,2012-Q%q,2012,2012Q2,Ireland,1117.0
2012-04-01,2012-Q%q,2012,2012Q2,Cork City Council,27.0
2012-04-01,2012-Q%q,2012,2012Q2,Clare County Council,38.0
2012-04-01,2012-Q%q,2012,2012Q2,Cavan County Council,23.0
2012-04-01,2012-Q%q,2012,2012Q2,Cork County Council,115.0
2012-04-01,2012-Q%q,2012,2012Q2,Carlow County Council,10.0
2012-04-01,2012-Q%q,2012,2012Q2,Dublin City Council,37.0
2012-04-01,2012-Q%q,2012,2012Q2,Dún Laoghaire Rathdown County Council,11.0
2012-04-01,2012-Q%q,2012,2012Q2,Donegal County Council,74.0
2012-04-01,2012-Q%q,2012,2012Q2,Fingal County Council,29.0
2012-04-01,2012-Q%q,2012,2012Q2,Galway County Council,71.0
2012-04-01,2012-Q%q,2012,2012Q2,Galway City Council,7.0
2012-04-01,2012-Q%q,2012,2012Q2,Kildare County Council,44.0
2012-04-01,2012-Q%q,2012,2012Q2,Kilkenny County Council,18.0
2012-04-01,2012-Q%q,2012,2012Q2,Kerry County Council,48.0
2012-04-01,2012-Q%q,2012,2012Q2,Longford County Council,24.0
2012-04-01,2012-Q%q,2012,2012Q2,Louth County Council,28.0
2012-04-01,2012-Q%q,2012,2012Q2,Limerick City & County Council,55.0
2012-04-01,2012-Q%q,2012,2012Q2,Leitrim County Council,7.0
2012-04-01,2012-Q%q,2012,2012Q2,Laois County Council,43.0
2012-04-01,2012-Q%q,2012,2012Q2,Meath County Council,47.0
2012-04-01,2012-Q%q,2012,2012Q2,Monaghan County Council,18.0
2012-04-01,2012-Q%q,2012,2012Q2,Mayo County Council,56.0
2012-04-01,2012-Q%q,2012,2012Q2,Offaly County Council,18.0
2012-04-01,2012-Q%q,2012,2012Q2,Roscommon County Council,25.0
2012-04-01,2012-Q%q,2012,2012Q2,South Dublin County Council,23.0
2012-04-01,2012-Q%q,2012,2012Q2,Sligo County Council,67.0
2012-04-01,2012-Q%q,2012,2012Q2,Tipperary County Council,30.0
2012-04-01,2012-Q%q,2012,2012Q2,Waterford City & County Council,19.0
2012-04-01,2012-Q%q,2012,2012Q2,Westmeath County Council,18.0
2012-04-01,2012-Q%q,2012,2012Q2,Wicklow County Council,38.0
2012-04-01,2012-Q%q,2012,2012Q2,Wexford County Council,49.0
2012-07-01,2012-Q%q,2012,2012Q3,Ireland,1205.0
2012-07-01,2012-Q%q,2012,2012Q3,Cork City Council,26.0
2012-07-01,2012-Q%q,2012,2012Q3,Clare County Council,39.0
2012-07-01,2012-Q%q,2012,2012Q3,Cavan County Council,23.0
2012-07-01,2012-Q%q,2012,2012Q3,Cork County Council,129.0
2012-07-01,2012-Q%q,2012,2012Q3,Carlow County Council,11.0
2012-07-01,2012-Q%q,2012,2012Q3,Dublin City Council,68.0
2012-07-01,2012-Q%q,2012,2012Q3,Dún Laoghaire Rathdown County Council,33.0
2012-07-01,2012-Q%q,2012,2012Q3,Donegal County Council,92.0
2012-07-01,2012-Q%q,2012,2012Q3,Fingal County Council,24.0
2012-07-01,2012-Q%q,2012,2012Q3,Galway County Council,72.0
2012-07-01,2012-Q%q,2012,2012Q3,Galway City Council,4.0
2012-07-01,2012-Q%q,2012,2012Q3,Kildare County Council,42.0
2012-07-01,2012-Q%q,2012,2012Q3,Kilkenny County Council,21.0
2012-07-01,2012-Q%q,2012,2012Q3,Kerry County Council,40.0
2012-07-01,2012-Q%q,2012,2012Q3,Longford County Council,29.0
2012-07-01,2012-Q%q,2012,2012Q3,Louth County Council,59.0
2012-07-01,2012-Q%q,2012,2012Q3,Limerick City & County Council,47.0
2012-07-01,2012-Q%q,2012,2012Q3,Leitrim County Council,13.0
2012-07-01,2012-Q%q,2012,2012Q3,Laois County Council,31.0
2012-07-01,2012-Q%q,2012,2012Q3,Meath County Council,42.0
2012-07-01,2012-Q%q,2012,2012Q3,Monaghan County Council,27.0
2012-07-01,2012-Q%q,2012,2012Q3,Mayo County Council,54.0
2012-07-01,2012-Q%q,2012,2012Q3,Offaly County Council,23.0
2012-07-01,2012-Q%q,2012,2012Q3,Roscommon County Council,16.0
2012-07-01,2012-Q%q,2012,2012Q3,South Dublin County Council,20.0
2012-07-01,2012-Q%q,2012,2012Q3,Sligo County Council,22.0
2012-07-01,2012-Q%q,2012,2012Q3,Tipperary County Council,57.0
2012-07-01,2012-Q%q,2012,2012Q3,Waterford City & County Council,23.0
2012-07-01,2012-Q%q,2012,2012Q3,Westmeath County Council,21.0
2012-07-01,2012-Q%q,2012,2012Q3,Wicklow County Council,58.0
2012-07-01,2012-Q%q,2012,2012Q3,Wexford County Council,39.0
2012-10-01,2012-Q%q,2012,2012Q4,Ireland,1458.0
2012-10-01,2012-Q%q,2012,2012Q4,Cork City Council,22.0
2012-10-01,2012-Q%q,2012,2012Q4,Clare County Council,39.0
2012-10-01,2012-Q%q,2012,2012Q4,Cavan County Council,33.0
2012-10-01,2012-Q%q,2012,2012Q4,Cork County Council,148.0
2012-10-01,2012-Q%q,2012,2012Q4,Carlow County Council,17.0
2012-10-01,2012-Q%q,2012,2012Q4,Dublin City Council,71.0
2012-10-01,2012-Q%q,2012,2012Q4,Dún Laoghaire Rathdown County Council,34.0
2012-10-01,2012-Q%q,2012,2012Q4,Donegal County Council,78.0
2012-10-01,2012-Q%q,2012,2012Q4,Fingal County Council,49.0
2012-10-01,2012-Q%q,2012,2012Q4,Galway County Council,91.0
2012-10-01,2012-Q%q,2012,2012Q4,Galway City Council,5.0
2012-10-01,2012-Q%q,2012,2012Q4,Kildare County Council,70.0
2012-10-01,2012-Q%q,2012,2012Q4,Kilkenny County Council,44.0
2012-10-01,2012-Q%q,2012,2012Q4,Kerry County Council,84.0
2012-10-01,2012-Q%q,2012,2012Q4,Longford County Council,7.0
2012-10-01,2012-Q%q,2012,2012Q4,Louth County Council,81.0
2012-10-01,2012-Q%q,2012,2012Q4,Limerick City & County Council,108.0
2012-10-01,2012-Q%q,2012,2012Q4,Leitrim County Council,9.0
2012-10-01,2012-Q%q,2012,2012Q4,Laois County Council,26.0
2012-10-01,2012-Q%q,2012,2012Q4,Meath County Council,63.0
2012-10-01,2012-Q%q,2012,2012Q4,Monaghan County Council,15.0
2012-10-01,2012-Q%q,2012,2012Q4,Mayo County Council,45.0
2012-10-01,2012-Q%q,2012,2012Q4,Offaly County Council,26.0
2012-10-01,2012-Q%q,2012,2012Q4,Roscommon County Council,16.0
2012-10-01,2012-Q%q,2012,2012Q4,South Dublin County Council,75.0
2012-10-01,2012-Q%q,2012,2012Q4,Sligo County Council,18.0
2012-10-01,2012-Q%q,2012,2012Q4,Tipperary County Council,41.0
2012-10-01,2012-Q%q,2012,2012Q4,Waterford City & County Council,38.0
2012-10-01,2012-Q%q,2012,2012Q4,Westmeath County Council,20.0
2012-10-01,2012-Q%q,2012,2012Q4,Wicklow County Council,30.0
2012-10-01,2012-Q%q,2012,2012Q4,Wexford County Council,55.0
2013-01-01,2013-Q%q,2013,2013Q1,Ireland,889.0
2013-01-01,2013-Q%q,2013,2013Q1,Cork City Council,16.0
2013-01-01,2013-Q%q,2013,2013Q1,Clare County Council,27.0
2013-01-01,2013-Q%q,2013,2013Q1,Cavan County Council,15.0
2013-01-01,2013-Q%q,2013,2013Q1,Cork County Council,88.0
2013-01-01,2013-Q%q,2013,2013Q1,Carlow County Council,7.0
2013-01-01,2013-Q%q,2013,2013Q1,Dublin City Council,36.0
2013-01-01,2013-Q%q,2013,2013Q1,Dún Laoghaire Rathdown County Council,22.0
2013-01-01,2013-Q%q,2013,2013Q1,Donegal County Council,54.0
2013-01-01,2013-Q%q,2013,2013Q1,Fingal County Council,27.0
2013-01-01,2013-Q%q,2013,2013Q1,Galway County Council,75.0
2013-01-01,2013-Q%q,2013,2013Q1,Galway City Council,3.0
2013-01-01,2013-Q%q,2013,2013Q1,Kildare County Council,34.0
2013-01-01,2013-Q%q,2013,2013Q1,Kilkenny County Council,19.0
2013-01-01,2013-Q%q,2013,2013Q1,Kerry County Council,39.0
2013-01-01,2013-Q%q,2013,2013Q1,Longford County Council,8.0
2013-01-01,2013-Q%q,2013,2013Q1,Louth County Council,48.0
2013-01-01,2013-Q%q,2013,2013Q1,Limerick City & County Council,46.0
2013-01-01,2013-Q%q,2013,2013Q1,Leitrim County Council,10.0
2013-01-01,2013-Q%q,2013,2013Q1,Laois County Council,13.0
2013-01-01,2013-Q%q,2013,2013Q1,Meath County Council,36.0
2013-01-01,2013-Q%q,2013,2013Q1,Monaghan County Council,16.0
2013-01-01,2013-Q%q,2013,2013Q1,Mayo County Council,38.0
2013-01-01,2013-Q%q,2013,2013Q1,Offaly County Council,12.0
2013-01-01,2013-Q%q,2013,2013Q1,Roscommon County Council,22.0
2013-01-01,2013-Q%q,2013,2013Q1,South Dublin County Council,28.0
2013-01-01,2013-Q%q,2013,2013Q1,Sligo County Council,30.0
2013-01-01,2013-Q%q,2013,2013Q1,Tipperary County Council,25.0
2013-01-01,2013-Q%q,2013,2013Q1,Waterford City & County Council,23.0
2013-01-01,2013-Q%q,2013,2013Q1,Westmeath County Council,13.0
2013-01-01,2013-Q%q,2013,2013Q1,Wicklow County Council,30.0
2013-01-01,2013-Q%q,2013,2013Q1,Wexford County Council,29.0
2013-04-01,2013-Q%q,2013,2013Q2,Ireland,1146.0
2013-04-01,2013-Q%q,2013,2013Q2,Cork City Council,69.0
2013-04-01,2013-Q%q,2013,2013Q2,Clare County Council,31.0
2013-04-01,2013-Q%q,2013,2013Q2,Cavan County Council,17.0
2013-04-01,2013-Q%q,2013,2013Q2,Cork County Council,101.0
2013-04-01,2013-Q%q,2013,2013Q2,Carlow County Council,10.0
2013-04-01,2013-Q%q,2013,2013Q2,Dublin City Council,111.0
2013-04-01,2013-Q%q,2013,2013Q2,Dún Laoghaire Rathdown County Council,24.0
2013-04-01,2013-Q%q,2013,2013Q2,Donegal County Council,60.0
2013-04-01,2013-Q%q,2013,2013Q2,Fingal County Council,25.0
2013-04-01,2013-Q%q,2013,2013Q2,Galway County Council,57.0
2013-04-01,2013-Q%q,2013,2013Q2,Galway City Council,31.0
2013-04-01,2013-Q%q,2013,2013Q2,Kildare County Council,52.0
2013-04-01,2013-Q%q,2013,2013Q2,Kilkenny County Council,34.0
2013-04-01,2013-Q%q,2013,2013Q2,Kerry County Council,42.0
2013-04-01,2013-Q%q,2013,2013Q2,Longford County Council,7.0
2013-04-01,2013-Q%q,2013,2013Q2,Louth County Council,79.0
2013-04-01,2013-Q%q,2013,2013Q2,Limerick City & County Council,36.0
2013-04-01,2013-Q%q,2013,2013Q2,Leitrim County Council,12.0
2013-04-01,2013-Q%q,2013,2013Q2,Laois County Council,24.0
2013-04-01,2013-Q%q,2013,2013Q2,Meath County Council,37.0
2013-04-01,2013-Q%q,2013,2013Q2,Monaghan County Council,15.0
2013-04-01,2013-Q%q,2013,2013Q2,Mayo County Council,45.0
2013-04-01,2013-Q%q,2013,2013Q2,Offaly County Council,14.0
2013-04-01,2013-Q%q,2013,2013Q2,Roscommon County Council,16.0
2013-04-01,2013-Q%q,2013,2013Q2,South Dublin County Council,25.0
2013-04-01,2013-Q%q,2013,2013Q2,Sligo County Council,15.0
2013-04-01,2013-Q%q,2013,2013Q2,Tipperary County Council,38.0
2013-04-01,2013-Q%q,2013,2013Q2,Waterford City & County Council,21.0
2013-04-01,2013-Q%q,2013,2013Q2,Westmeath County Council,18.0
2013-04-01,2013-Q%q,2013,2013Q2,Wicklow County Council,41.0
2013-04-01,2013-Q%q,2013,2013Q2,Wexford County Council,39.0
2013-07-01,2013-Q%q,2013,2013Q3,Ireland,1033.0
2013-07-01,2013-Q%q,2013,2013Q3,Cork City Council,14.0
2013-07-01,2013-Q%q,2013,2013Q3,Clare County Council,26.0
2013-07-01,2013-Q%q,2013,2013Q3,Cavan County Council,16.0
2013-07-01,2013-Q%q,2013,2013Q3,Cork County Council,103.0
2013-07-01,2013-Q%q,2013,2013Q3,Carlow County Council,16.0
2013-07-01,2013-Q%q,2013,2013Q3,Dublin City Council,57.0
2013-07-01,2013-Q%q,2013,2013Q3,Dún Laoghaire Rathdown County Council,30.0
2013-07-01,2013-Q%q,2013,2013Q3,Donegal County Council,62.0
2013-07-01,2013-Q%q,2013,2013Q3,Fingal County Council,61.0
2013-07-01,2013-Q%q,2013,2013Q3,Galway County Council,62.0
2013-07-01,2013-Q%q,2013,2013Q3,Galway City Council,9.0
2013-07-01,2013-Q%q,2013,2013Q3,Kildare County Council,51.0
2013-07-01,2013-Q%q,2013,2013Q3,Kilkenny County Council,31.0
2013-07-01,2013-Q%q,2013,2013Q3,Kerry County Council,54.0
2013-07-01,2013-Q%q,2013,2013Q3,Longford County Council,9.0
2013-07-01,2013-Q%q,2013,2013Q3,Louth County Council,37.0
2013-07-01,2013-Q%q,2013,2013Q3,Limerick City & County Council,24.0
2013-07-01,2013-Q%q,2013,2013Q3,Leitrim County Council,10.0
2013-07-01,2013-Q%q,2013,2013Q3,Laois County Council,18.0
2013-07-01,2013-Q%q,2013,2013Q3,Meath County Council,33.0
2013-07-01,2013-Q%q,2013,2013Q3,Monaghan County Council,18.0
2013-07-01,2013-Q%q,2013,2013Q3,Mayo County Council,41.0
2013-07-01,2013-Q%q,2013,2013Q3,Offaly County Council,10.0
2013-07-01,2013-Q%q,2013,2013Q3,Roscommon County Council,20.0
2013-07-01,2013-Q%q,2013,2013Q3,South Dublin County Council,33.0
2013-07-01,2013-Q%q,2013,2013Q3,Sligo County Council,23.0
2013-07-01,2013-Q%q,2013,2013Q3,Tipperary County Council,23.0
2013-07-01,2013-Q%q,2013,2013Q3,Waterford City & County Council,24.0
2013-07-01,2013-Q%q,2013,2013Q3,Westmeath County Council,17.0
2013-07-01,2013-Q%q,2013,2013Q3,Wicklow County Council,41.0
2013-07-01,2013-Q%q,2013,2013Q3,Wexford County Council,60.0
2013-10-01,2013-Q%q,2013,2013Q4,Ireland,1507.0
2013-10-01,2013-Q%q,2013,2013Q4,Cork City Council,59.0
2013-10-01,2013-Q%q,2013,2013Q4,Clare County Council,39.0
2013-10-01,2013-Q%q,2013,2013Q4,Cavan County Council,21.0
2013-10-01,2013-Q%q,2013,2013Q4,Cork County Council,119.0
2013-10-01,2013-Q%q,2013,2013Q4,Carlow County Council,9.0
2013-10-01,2013-Q%q,2013,2013Q4,Dublin City Council,90.0
2013-10-01,2013-Q%q,2013,2013Q4,Dún Laoghaire Rathdown County Council,132.0
2013-10-01,2013-Q%q,2013,2013Q4,Donegal County Council,74.0
2013-10-01,2013-Q%q,2013,2013Q4,Fingal County Council,72.0
2013-10-01,2013-Q%q,2013,2013Q4,Galway County Council,67.0
2013-10-01,2013-Q%q,2013,2013Q4,Galway City Council,7.0
2013-10-01,2013-Q%q,2013,2013Q4,Kildare County Council,57.0
2013-10-01,2013-Q%q,2013,2013Q4,Kilkenny County Council,28.0
2013-10-01,2013-Q%q,2013,2013Q4,Kerry County Council,59.0
2013-10-01,2013-Q%q,2013,2013Q4,Longford County Council,11.0
2013-10-01,2013-Q%q,2013,2013Q4,Louth County Council,41.0
2013-10-01,2013-Q%q,2013,2013Q4,Limerick City & County Council,108.0
2013-10-01,2013-Q%q,2013,2013Q4,Leitrim County Council,9.0
2013-10-01,2013-Q%q,2013,2013Q4,Laois County Council,30.0
2013-10-01,2013-Q%q,2013,2013Q4,Meath County Council,54.0
2013-10-01,2013-Q%q,2013,2013Q4,Monaghan County Council,36.0
2013-10-01,2013-Q%q,2013,2013Q4,Mayo County Council,90.0
2013-10-01,2013-Q%q,2013,2013Q4,Offaly County Council,19.0
2013-10-01,2013-Q%q,2013,2013Q4,Roscommon County Council,22.0
2013-10-01,2013-Q%q,2013,2013Q4,South Dublin County Council,56.0
2013-10-01,2013-Q%q,2013,2013Q4,Sligo County Council,22.0
2013-10-01,2013-Q%q,2013,2013Q4,Tipperary County Council,48.0
2013-10-01,2013-Q%q,2013,2013Q4,Waterford City & County Council,23.0
2013-10-01,2013-Q%q,2013,2013Q4,Westmeath County Council,18.0
2013-10-01,2013-Q%q,2013,2013Q4,Wicklow County Council,26.0
2013-10-01,2013-Q%q,2013,2013Q4,Wexford County Council,61.0
